Date,Open,High,Low,PX_Last
4/10/2014,1.3855,1.3899,1.3836,1.3886
4/11/2014,1.3886,1.3906,1.3864,1.3885
4/14/2014,1.3843,1.3863,1.3808,1.3821
4/15/2014,1.3821,1.3833,1.3791,1.3815
4/16/2014,1.3815,1.3851,1.3804,1.3816
4/17/2014,1.3816,1.3865,1.3811,1.3814
4/18/2014,1.3814,1.3822,1.3809,1.3813
4/21/2014,1.3816,1.3831,1.3787,1.3793
4/22/2014,1.3793,1.3825,1.3785,1.3805
4/23/2014,1.3805,1.3855,1.38,1.3817
4/24/2014,1.3817,1.3843,1.3792,1.3831
4/25/2014,1.3831,1.3848,1.3827,1.3834
4/28/2014,1.3837,1.3879,1.3815,1.3851
4/29/2014,1.3851,1.3879,1.3806,1.3812
4/30/2014,1.3812,1.3877,1.3775,1.3867
5/1/2014,1.3867,1.3889,1.3863,1.387
5/2/2014,1.387,1.3881,1.3812,1.3869
5/5/2014,1.3871,1.3887,1.3865,1.3875
5/6/2014,1.3875,1.3951,1.3872,1.3928
5/7/2014,1.3928,1.3939,1.391,1.391
5/8/2014,1.391,1.3993,1.3833,1.384
5/9/2014,1.384,1.3845,1.3745,1.3758
5/12/2014,1.3755,1.3775,1.3749,1.3757
5/13/2014,1.3757,1.3772,1.3689,1.3704
5/14/2014,1.3704,1.3731,1.3698,1.3715
5/15/2014,1.3715,1.3732,1.3648,1.371
5/16/2014,1.371,1.3727,1.3685,1.3694
5/19/2014,1.3703,1.3734,1.3689,1.3709
5/20/2014,1.3709,1.3714,1.3678,1.3702
5/21/2014,1.3702,1.3723,1.3635,1.3687
5/22/2014,1.3687,1.3688,1.3645,1.3656
5/23/2014,1.3656,1.366,1.3616,1.3629
5/26/2014,1.3628,1.3655,1.3615,1.3646
5/27/2014,1.3646,1.3669,1.3613,1.3635
5/28/2014,1.3635,1.3638,1.3589,1.3591
5/29/2014,1.3591,1.3626,1.3586,1.3602
5/30/2014,1.3602,1.365,1.3599,1.3635
6/2/2014,1.3635,1.3644,1.3588,1.3597
6/3/2014,1.3597,1.3648,1.3588,1.3628
6/4/2014,1.3628,1.3639,1.3597,1.3599
6/5/2014,1.3599,1.367,1.3503,1.366
6/6/2014,1.366,1.3677,1.3621,1.3643
6/9/2014,1.3644,1.3669,1.3583,1.3594
6/10/2014,1.3594,1.3602,1.3534,1.3547
6/11/2014,1.3547,1.3557,1.3522,1.3532
6/12/2014,1.3531,1.3572,1.3512,1.3552
6/13/2014,1.3552,1.3579,1.3521,1.354
6/16/2014,1.3537,1.3579,1.3513,1.3574
6/17/2014,1.3574,1.3587,1.3536,1.3547
6/18/2014,1.3547,1.3599,1.3542,1.3595
6/19/2014,1.3595,1.3644,1.3584,1.3608
6/20/2014,1.3608,1.3634,1.3565,1.36
6/23/2014,1.3592,1.3614,1.3574,1.3605
6/24/2014,1.3605,1.3628,1.3584,1.3606
6/25/2014,1.3606,1.3651,1.3601,1.3629
6/26/2014,1.3629,1.3641,1.3576,1.3612
6/27/2014,1.3612,1.3651,1.361,1.3649
6/30/2014,1.3647,1.3698,1.364,1.3692
7/1/2014,1.3692,1.37,1.3676,1.3679
7/2/2014,1.3679,1.3683,1.3643,1.366
7/3/2014,1.366,1.3664,1.3596,1.361
7/4/2014,1.361,1.3611,1.3586,1.3595
7/7/2014,1.3598,1.3609,1.3576,1.3605
7/8/2014,1.3605,1.3617,1.3588,1.3612
7/9/2014,1.3612,1.3649,1.3602,1.3642
7/10/2014,1.3642,1.3651,1.3589,1.3609
7/11/2014,1.3609,1.3625,1.3592,1.3608
7/14/2014,1.3603,1.364,1.3597,1.3619
7/15/2014,1.3619,1.3628,1.3562,1.3568
7/16/2014,1.3568,1.3573,1.3521,1.3525
7/17/2014,1.3525,1.354,1.3517,1.3526
7/18/2014,1.3526,1.3536,1.3491,1.3524
7/21/2014,1.3528,1.3549,1.3513,1.3524
7/22/2014,1.3524,1.353,1.3459,1.3466
7/23/2014,1.3466,1.3474,1.3455,1.3464
7/24/2014,1.3464,1.3485,1.3438,1.3464
7/25/2014,1.3464,1.3476,1.3422,1.343
7/28/2014,1.3433,1.3444,1.3427,1.344
7/29/2014,1.344,1.3444,1.3404,1.3409
7/30/2014,1.3409,1.3415,1.3367,1.3397
7/31/2014,1.3397,1.3401,1.3372,1.339
8/1/2014,1.339,1.3445,1.3379,1.3427
8/4/2014,1.3427,1.3433,1.341,1.3422
8/5/2014,1.3422,1.3425,1.3358,1.3376
8/6/2014,1.3376,1.3387,1.3333,1.3383
8/7/2014,1.3383,1.3394,1.3337,1.3364
8/8/2014,1.3364,1.3433,1.3344,1.341
8/11/2014,1.3401,1.3415,1.3381,1.3385
8/12/2014,1.3385,1.3386,1.3336,1.3369
8/13/2014,1.3369,1.3415,1.3342,1.3364
8/14/2014,1.3364,1.3408,1.3349,1.3365
8/15/2014,1.3365,1.3412,1.3359,1.3401
8/18/2014,1.3391,1.3399,1.3353,1.3364
8/19/2014,1.3364,1.3365,1.3313,1.332
8/20/2014,1.332,1.3324,1.3256,1.3259
8/21/2014,1.3259,1.3288,1.3242,1.3281
8/22/2014,1.3281,1.3297,1.3221,1.3242
8/25/2014,1.3211,1.322,1.3184,1.3192
8/26/2014,1.3192,1.3215,1.3165,1.3167
8/27/2014,1.3167,1.321,1.3153,1.3193
8/28/2014,1.3193,1.3221,1.316,1.3182
8/29/2014,1.3182,1.3196,1.3132,1.3132
9/1/2014,1.3138,1.3145,1.3119,1.3128
9/2/2014,1.3128,1.3137,1.311,1.3133
9/3/2014,1.3133,1.316,1.3122,1.315
9/4/2014,1.315,1.3154,1.292,1.2944
9/5/2014,1.2944,1.2988,1.2922,1.2951
9/8/2014,1.2943,1.2961,1.2882,1.2895
9/9/2014,1.2895,1.2957,1.286,1.2937
9/10/2014,1.2937,1.2963,1.2884,1.2917
9/11/2014,1.2917,1.2952,1.2897,1.2925
9/12/2014,1.2925,1.2979,1.2909,1.2963
9/15/2014,1.2971,1.298,1.2909,1.294
9/16/2014,1.294,1.2995,1.2923,1.296
9/17/2014,1.296,1.2981,1.2852,1.2865
9/18/2014,1.2865,1.293,1.2835,1.2923
9/19/2014,1.2923,1.2929,1.2829,1.2829
9/22/2014,1.2827,1.2868,1.2816,1.2849
9/23/2014,1.2849,1.2901,1.2843,1.2847
9/24/2014,1.2847,1.2864,1.2774,1.278
9/25/2014,1.278,1.2783,1.2697,1.2751
9/26/2014,1.2751,1.2761,1.2677,1.2684
9/29/2014,1.2691,1.2715,1.2664,1.2685
9/30/2014,1.2685,1.2702,1.2571,1.2631
10/1/2014,1.2631,1.264,1.2584,1.2623
10/2/2014,1.2623,1.2699,1.2614,1.2669
10/3/2014,1.2669,1.2675,1.2501,1.2516
10/6/2014,1.2507,1.2675,1.2504,1.2655
10/7/2014,1.2655,1.2682,1.2584,1.2669
10/8/2014,1.2669,1.2749,1.2623,1.2734
10/9/2014,1.2734,1.2791,1.2664,1.2691
10/10/2014,1.2691,1.2716,1.2606,1.2628
10/13/2014,1.2632,1.2761,1.262,1.2752
10/14/2014,1.2752,1.2768,1.264,1.2658
10/15/2014,1.2658,1.2886,1.2625,1.2838
10/16/2014,1.2838,1.2845,1.2706,1.2809
10/17/2014,1.2809,1.2837,1.2744,1.2761
10/20/2014,1.276,1.2817,1.2731,1.28
10/21/2014,1.28,1.284,1.2715,1.2716
10/22/2014,1.2716,1.274,1.2637,1.2649
10/23/2014,1.2649,1.2677,1.2614,1.2646
10/24/2014,1.2646,1.2696,1.2635,1.2671
10/27/2014,1.2679,1.2723,1.2666,1.2698
10/28/2014,1.2698,1.2765,1.2685,1.2734
10/29/2014,1.2734,1.2771,1.2631,1.2632
10/30/2014,1.2632,1.2639,1.2548,1.2613
10/31/2014,1.2613,1.2618,1.2486,1.2525
11/3/2014,1.2517,1.2518,1.244,1.2482
11/4/2014,1.2482,1.2577,1.2481,1.2546
11/5/2014,1.2546,1.2567,1.2457,1.2486
11/6/2014,1.2486,1.2533,1.2365,1.2375
11/7/2014,1.2375,1.247,1.2358,1.2455
11/10/2014,1.2457,1.2509,1.2419,1.2421
11/11/2014,1.2421,1.2499,1.2395,1.2475
11/12/2014,1.2475,1.2498,1.2419,1.2438
11/13/2014,1.2438,1.2492,1.2427,1.2477
11/14/2014,1.2477,1.2546,1.2399,1.2525
11/17/2014,1.253,1.2578,1.2445,1.245
11/18/2014,1.245,1.2545,1.2444,1.2536
11/19/2014,1.2536,1.26,1.2513,1.2554
11/20/2014,1.2554,1.2575,1.2504,1.2539
11/21/2014,1.2539,1.2568,1.2375,1.2391
11/24/2014,1.2376,1.2445,1.236,1.2442
11/25/2014,1.2443,1.2487,1.2402,1.2474
11/26/2014,1.2474,1.2532,1.2444,1.2506
11/27/2014,1.2506,1.2524,1.2465,1.2467
11/28/2014,1.2467,1.249,1.2427,1.2452
12/1/2014,1.2453,1.2507,1.2419,1.247
12/2/2014,1.247,1.2476,1.2377,1.2383
12/3/2014,1.2383,1.2391,1.2301,1.2311
12/4/2014,1.2311,1.2456,1.228,1.2379
12/5/2014,1.2379,1.2393,1.2271,1.2283
12/8/2014,1.2284,1.2344,1.2247,1.2317
12/9/2014,1.2317,1.2448,1.2292,1.2374
12/10/2014,1.2374,1.2448,1.2362,1.2448
12/11/2014,1.2448,1.2495,1.237,1.2411
12/12/2014,1.2411,1.2485,1.2384,1.2462
12/15/2014,1.2463,1.2484,1.2415,1.2437
12/16/2014,1.2437,1.257,1.2434,1.2511
12/17/2014,1.2511,1.2516,1.2321,1.2342
12/18/2014,1.2342,1.2353,1.2266,1.2286
12/19/2014,1.2286,1.2302,1.222,1.2229
12/22/2014,1.2225,1.2273,1.2217,1.223
12/23/2014,1.223,1.2246,1.2165,1.2172
12/24/2014,1.2172,1.222,1.217,1.2196
12/25/2014,1.2196,1.2252,1.2188,1.2225
12/26/2014,1.2225,1.2227,1.2169,1.2183
12/29/2014,1.2188,1.2221,1.2143,1.2152
12/30/2014,1.2152,1.2188,1.2124,1.2156
12/31/2014,1.2156,1.217,1.2097,1.2098
1/1/2015,1.2098,1.2109,1.2098,1.2104
1/2/2015,1.2104,1.2108,1.2001,1.2002
1/5/2015,1.2002,1.2007,1.1864,1.1933
1/6/2015,1.1933,1.1969,1.1884,1.189
1/7/2015,1.189,1.1897,1.1802,1.1839
1/8/2015,1.1839,1.1848,1.1754,1.1793
1/9/2015,1.1793,1.1846,1.1763,1.1842
1/12/2015,1.1836,1.1871,1.1786,1.1834
1/13/2015,1.1834,1.186,1.1753,1.1773
1/14/2015,1.1773,1.1846,1.1727,1.1789
1/15/2015,1.1789,1.1793,1.1568,1.1633
1/16/2015,1.1633,1.1649,1.146,1.1567
1/19/2015,1.1563,1.1639,1.1546,1.1606
1/20/2015,1.1606,1.1615,1.1541,1.155
1/21/2015,1.155,1.1679,1.1542,1.161
1/22/2015,1.161,1.165,1.1316,1.1366
1/23/2015,1.1366,1.1374,1.1115,1.1204
1/26/2015,1.1189,1.1296,1.1098,1.1238
1/27/2015,1.1239,1.1423,1.1224,1.1381
1/28/2015,1.1381,1.1383,1.1276,1.1287
1/29/2015,1.1287,1.1368,1.1262,1.132
1/30/2015,1.132,1.1364,1.1279,1.1291
2/2/2015,1.1285,1.1362,1.1279,1.1341
2/3/2015,1.1341,1.1534,1.1313,1.1481
2/4/2015,1.1481,1.1485,1.1316,1.1345
2/5/2015,1.1345,1.1499,1.1304,1.1477
2/6/2015,1.1477,1.1486,1.1312,1.1316
2/9/2015,1.1316,1.1359,1.127,1.1325
2/10/2015,1.1325,1.1345,1.1273,1.1321
2/11/2015,1.1321,1.1348,1.128,1.1336
2/12/2015,1.1336,1.1423,1.1303,1.1403
2/13/2015,1.1403,1.1443,1.138,1.1394
2/16/2015,1.1401,1.1429,1.132,1.1355
2/17/2015,1.1355,1.1449,1.1322,1.1411
2/18/2015,1.1411,1.1416,1.1334,1.1397
2/19/2015,1.1397,1.145,1.1356,1.1368
2/20/2015,1.1368,1.143,1.1279,1.1381
2/23/2015,1.1384,1.1412,1.1295,1.1335
2/24/2015,1.1335,1.1358,1.1289,1.134
2/25/2015,1.134,1.1389,1.1336,1.1361
2/26/2015,1.1361,1.138,1.1184,1.1198
2/27/2015,1.1198,1.1245,1.1176,1.1196
3/2/2015,1.1191,1.1241,1.116,1.1184
3/3/2015,1.1184,1.1218,1.1155,1.1176
3/4/2015,1.1176,1.1186,1.1062,1.1078
3/5/2015,1.1078,1.1114,1.0988,1.103
3/6/2015,1.103,1.1033,1.084,1.0844
3/9/2015,1.0832,1.0907,1.0823,1.0852
3/10/2015,1.0852,1.0856,1.0693,1.0698
3/11/2015,1.0698,1.0717,1.0511,1.0547
3/12/2015,1.0547,1.0684,1.0495,1.0635
3/13/2015,1.0635,1.0635,1.0463,1.0496
3/16/2015,1.0489,1.062,1.0458,1.0568
3/17/2015,1.0568,1.0651,1.0552,1.0597
3/18/2015,1.0597,1.1043,1.058,1.0864
3/19/2015,1.0864,1.0919,1.0613,1.066
3/20/2015,1.066,1.0882,1.065,1.0821
3/23/2015,1.0837,1.0971,1.0768,1.0946
3/24/2015,1.0946,1.1029,1.0891,1.0924
3/25/2015,1.0924,1.1014,1.0901,1.097
3/26/2015,1.097,1.1052,1.0857,1.0884
3/27/2015,1.0884,1.0949,1.0801,1.0889
3/30/2015,1.0891,1.0905,1.081,1.0833
3/31/2015,1.0833,1.0845,1.0713,1.0731
4/1/2015,1.0731,1.08,1.0719,1.0763
4/2/2015,1.0763,1.0905,1.075,1.088
4/3/2015,1.088,1.1027,1.0864,1.0969
4/6/2015,1.0967,1.1036,1.091,1.0922
4/7/2015,1.0922,1.0955,1.0804,1.0814
4/8/2015,1.0814,1.0888,1.0764,1.0781
4/9/2015,1.0781,1.0789,1.0638,1.0659
4/10/2015,1.0659,1.0684,1.0568,1.0604
4/13/2015,1.0598,1.0619,1.0521,1.0567
4/14/2015,1.0567,1.0707,1.0532,1.0655
4/15/2015,1.0655,1.0702,1.0571,1.0684
4/16/2015,1.0684,1.0818,1.0625,1.0761
4/17/2015,1.0761,1.0849,1.0734,1.0806
4/20/2015,1.0822,1.0825,1.0712,1.0738
4/21/2015,1.0738,1.0781,1.066,1.0736
4/22/2015,1.0736,1.0801,1.0709,1.0725
4/23/2015,1.0725,1.0846,1.0666,1.0824
4/24/2015,1.0824,1.09,1.0785,1.0873
4/27/2015,1.0866,1.0927,1.082,1.0891
4/28/2015,1.0891,1.0991,1.086,1.0981
4/29/2015,1.0981,1.1188,1.096,1.1128
4/30/2015,1.1128,1.1266,1.1072,1.1224
5/1/2015,1.1224,1.129,1.1175,1.1199
5/4/2015,1.12,1.1224,1.1123,1.1146
5/5/2015,1.1146,1.1223,1.1066,1.1185
5/6/2015,1.1185,1.137,1.1175,1.1347
5/7/2015,1.1347,1.1392,1.1237,1.1267
5/8/2015,1.1267,1.1289,1.1179,1.1199
5/11/2015,1.1197,1.1207,1.1131,1.1155
5/12/2015,1.1155,1.1279,1.1135,1.1213
5/13/2015,1.1213,1.1383,1.1203,1.1354
5/14/2015,1.1354,1.1445,1.1341,1.141
5/15/2015,1.141,1.1467,1.1324,1.1451
5/18/2015,1.1446,1.1453,1.1299,1.1315
5/19/2015,1.1315,1.1326,1.1119,1.115
5/20/2015,1.115,1.1153,1.1062,1.1094
5/21/2015,1.1094,1.1181,1.108,1.1112
5/22/2015,1.1112,1.1208,1.1002,1.1013
5/25/2015,1.1005,1.101,1.0959,1.0978
5/26/2015,1.0978,1.0982,1.0863,1.0873
5/27/2015,1.0873,1.0929,1.0819,1.0904
5/28/2015,1.0904,1.0959,1.0868,1.0949
5/29/2015,1.0949,1.1006,1.0926,1.0986
6/1/2015,1.0985,1.0991,1.0887,1.0927
6/2/2015,1.0927,1.1192,1.0916,1.1151
6/3/2015,1.1151,1.1285,1.108,1.1275
6/4/2015,1.1275,1.138,1.1223,1.1238
6/5/2015,1.1238,1.128,1.105,1.1114
6/8/2015,1.1112,1.1307,1.1082,1.1291
6/9/2015,1.1291,1.1346,1.1214,1.1283
6/10/2015,1.1283,1.1386,1.126,1.1324
6/11/2015,1.1324,1.1331,1.1182,1.1258
6/12/2015,1.1258,1.1297,1.1151,1.1266
